hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
8303,N/A,21.755198,-49.498761,128.3697,6.460,0.918,K1III,"rgb(255, 172, 185)",Ind
8334,N/A,21.757480,61.120806,100000.0000,4.250,-15.750,A2Iavar,"rgb(255, 190, 247)",Cep
8286,N/A,21.758004,-71.008849,227.7904,6.020,-0.768,B8IV,"rgb(191, 158, 0)",Ind
8320,N/A,21.762361,35.857311,151.5152,6.440,0.538,G8III,"rgb(255, 176, 197)",Cyg
8321,N/A,21.767879,22.948880,427.3504,5.290,-2.864,K0Ib,"rgb(255, 166, 168)",Peg
8318,N/A,21.771186,-9.275935,363.6364,6.000,-1.803,M3III,"rgb(255, 0, 147)",Cap
8329,N/A,21.771278,43.060771,353.3569,6.520,-1.221,A4V+...,"rgb(241, 185, 0)",Cyg
8325,N/A,21.773316,25.563504,111.2347,6.280,1.049,K3III:,"rgb(255, 170, 180)",Peg
8319,N/A,21.775583,-11.365954,86.3558,5.570,0.889,A1V,"rgb(208, 170, 0)",Cap
8335,N/A,21.779891,49.309570,338.9831,4.230,-3.421,B3III,"rgb(187, 156, 0)",Cyg
8342,N/A,21.783573,70.150882,152.9052,6.450,0.528,A0V,"rgb(207, 169, 0)",Cep
8322,N/A,21.784011,-16.127286,11.8666,2.850,2.478,A5mF2 (IV),"rgb(231, 180, 0)",Cap
8330,N/A,21.784655,17.194041,48.4496,6.180,2.754,F3V,"rgb(249, 189, 0)",Peg
8328,N/A,21.787212,2.686124,174.5201,5.630,-0.579,A1V,"rgb(212, 171, 0)",Peg
8339,N/A,21.790362,60.692689,140.4494,5.530,-0.208,M1III,"rgb(255, 161, 156)",Cep
8332,N/A,21.793955,-5.916802,69.5894,6.170,1.957,A7V,"rgb(236, 183, 0)",Aqr
8326,N/A,21.795598,-30.898304,98.4252,5.020,0.054,A1V,"rgb(216, 172, 0)",PsA
8336,N/A,21.802333,36.580388,177.9359,6.250,-0.001,K5,"rgb(255, 162, 159)",Cyg
8323,N/A,21.804363,-47.303615,15.9949,5.570,4.550,G2V,"rgb(255, 186, 233)",Gru
8338,N/A,21.808154,38.648575,145.5604,6.100,0.285,B8V,"rgb(195, 161, 0)",Cyg
8347,N/A,21.821948,61.272760,271.7391,6.180,-0.991,M1II-III,"rgb(255, 2, 133)",Cep
